Year,Muslims,Jews,Other
1533,145000,5000,6000
1800,246000,7000,22000
1914,525000,94000,70000
1922,590890,83794,82498
1931,759712,174610,91398
1945,1061270,553600,149650
1947,1181000,630000,143000
1967,289600,2383600,103100
2005,1140600,5313800,261600
2023,2065000,7181000,549000
